region,useCard,dCard,income,education,age,age2,dPhone
3,15,1,17,1,45,2025,1
3,4,1,15,1,29,841,1
3,0,0,0,0,56,3136,1
3,0,0,0,0,68,4624,0
3,0,0,0,0,72,5184,0
3,1,1,8.666666667,0,67,4489,1
3,4,1,0,1,57,3249,1
3,1,1,40,1,63,3969,1
3,10,1,0,1,50,2500,1
3,0,0,8,1,35,1225,1
3,0,0,13,0,34,1156,1
3,1,1,0,0,27,729,1
3,0,0,0,1,73,5329,0
3,0,0,0,0,75,5625,0
3,1,1,0,0,70,4900,0
3,5,1,33,0,56,3136,1
3,4,1,2,0,31,961,1
3,0,0,8,1,47,2209,1
3,0,0,0,0,53,2809,0
3,0,0,2,0,27,729,1
3,2,1,6.5,0,54,2916,1
3,0,0,0,0,55,3025,0
3,0,0,25,1,30,900,1
3,10,1,10,1,32,1024,1
3,2,1,6.5,0,61,3721,0
3,0,0,4.766666667,0,57,3249,1
3,0,0,6,0,52,2704,1
3,1,1,18,0,27,729,1
3,0,0,5.2,0,31,961,1
3,0,0,4.766666667,0,52,2704,1
3,0,0,0,0,29,841,1
3,0,0,8.666666667,0,42,1764,1
3,0,0,0,0,56,3136,1
3,1,1,15,1,33,1089,1
3,1,1,0,0,82,6724,1
3,2,1,0,0,84,7056,1
3,0,0,4.333333333,0,30,900,1
3,1,1,6,0,20,400,1
3,5,1,4.766666667,1,28,784,1
3,0,0,5.6,0,21,441,1
3,0,0,16,1,50,2500,1
3,0,0,1.95,0,46,2116,1
3,0,0,0,0,40,1600,1
3,0,0,10.4,0,49,2401,1
3,0,0,0,1,51,2601,1
3,0,0,8,0,33,1089,1
3,0,0,8.666666667,0,38,1444,1
3,1,1,10.83333333,1,30,900,1
3,3,1,8.666666667,0,20,400,1
3,3,1,16,1,41,1681,1
3,0,0,0,0,37,1369,1
3,0,0,4.68,0,34,1156,0
3,1,1,15,0,40,1600,1
3,1,1,13,1,38,1444,1
3,0,0,0,0,37,1369,1
3,0,0,3.9,0,27,729,1
3,1,1,0.866666667,0,36,1296,1
3,0,0,10,0,42,1764,1
3,0,0,13,0,31,961,1
3,2,1,6.5,1,23,529,1
3,0,0,0,0,26,676,1
3,0,0,0,0,49,2401,1
3,0,0,5.2,1,21,441,1
3,2,1,0,1,30,900,1
3,1,1,10,1,43,1849,1
3,0,0,9,1,28,784,1
3,1,1,15,1,28,784,1
3,0,0,0,1,59,3481,1
3,0,0,10,0,46,2116,1
3,0,0,8,0,28,784,1
3,5,1,10,1,38,1444,1
3,0,0,16,1,46,2116,1
3,0,0,20,1,54,2916,1
3,0,0,5.633333333,0,29,841,1
3,0,0,20,0,45,2025,1
3,0,0,7.366666667,0,27,729,1
3,0,0,3.466666667,0,34,1156,1
3,0,0,10.83333333,0,19,361,1
3,0,0,5.633333333,0,29,841,1
3,0,0,0,0,31,961,1
3,0,0,13,0,49,2401,1
3,0,0,8.233333333,0,40,1600,1
3,0,0,13,0,28,784,1
3,2,1,8.666666667,0,48,2304,1
3,0,0,4.333333333,0,53,2809,0
1,0,0,0,0,70,4900,1
1,3,1,NA,0,18,324,1
1,2,1,2.6,0,23,529,1
1,5,1,6.933333333,1,19,361,1
1,2,1,15.16666667,0,50,2500,1
1,5,1,1.2,1,58,3364,1
1,2,1,6.5,0,47,2209,1
1,2,1,5.633333333,0,21,441,1
1,2,1,0,0,83,6889,1
1,1,1,9.1,0,31,961,1
1,2,1,NA,0,51,2601,1
1,2,1,21.66666667,0,34,1156,1
1,2,1,8.666666667,0,56,3136,1
1,0,0,0,0,45,2025,1
1,2,1,NA,0,23,529,1
1,1,1,21.66666667,1,58,3364,1
1,1,1,0,0,47,2209,1
1,1,1,4.333333333,0,26,676,1
1,5,1,6.933333333,0,22,484,1
1,1,1,6.5,0,21,441,1
1,4,1,24,1,34,1156,1
1,0,0,0,0,85,7225,1
1,10,1,0,0,74,5476,0
1,2,1,6.5,0,44,1936,1
1,1,1,0,0,45,2025,0
1,3,1,6.5,0,30,900,1
1,1,1,NA,1,70,4900,1
1,5,1,21.66666667,1,28,784,1
1,2,1,0,1,69,4761,1
1,5,1,4.766666667,0,42,1764,0
1,1,1,5,1,43,1849,1
1,0,0,13,1,25,625,1
1,1,1,6.5,0,25,625,1
1,2,1,11,0,35,1225,1
1,3,1,0,1,44,1936,1
1,5,1,0,0,32,1024,1
1,4,1,0,0,32,1024,1
1,2,1,9.533333333,0,56,3136,0
1,1,1,8.233333333,0,35,1225,1
1,1,1,0,0,41,1681,1
1,2,1,9,0,35,1225,1
1,1,1,0,0,32,1024,1
1,1,1,15.9,1,47,2209,1
1,0,0,0,1,59,3481,1
1,4,1,32,1,28,784,1
1,0,0,0,0,21,441,1
1,0,0,6.5,0,53,2809,1
1,2,1,12,1,35,1225,1
1,0,0,10.83333333,0,32,1024,1
1,0,0,20,0,25,625,1
1,0,0,4.333333333,0,43,1849,1
1,2,1,28,1,36,1296,1
1,1,1,12,0,62,3844,1
1,1,1,7.8,0,45,2025,1
1,0,0,21.66666667,0,24,576,1
1,1,1,40,1,57,3249,1
1,2,1,21.66666667,1,45,2025,1
1,1,1,0,0,69,4761,0
1,0,0,6.5,1,26,676,1
1,0,0,0,0,59,3481,0
1,0,0,6.933333333,0,25,625,1
1,1,1,6.5,0,63,3969,1
1,0,0,10.83333333,0,23,529,1
1,1,1,18,0,59,3481,1
1,2,1,15,1,27,729,1
1,3,1,10.83333333,0,48,2304,1
1,0,0,7.8,0,43,1849,1
1,0,0,0,0,20,400,0
1,0,0,9.75,0,31,961,1
1,3,1,NA,1,58,3364,0
1,2,1,NA,1,27,729,1
1,0,0,40,1,45,2025,1
1,2,1,30.33333333,1,40,1600,1
1,4,1,2,0,32,1024,1
1,1,1,9.533333333,0,23,529,1
1,2,1,6.933333333,0,22,484,1
1,1,1,0,0,58,3364,1
1,2,1,6,1,41,1681,1
1,4,1,17.33333333,1,45,2025,1
1,0,0,7.8,0,19,361,1
1,0,0,6.066666667,0,53,2809,0
1,0,0,8.666666667,0,35,1225,1
1,0,0,11.7,1,27,729,1
1,1,1,15,0,48,2304,1
1,1,1,0,1,21,441,1
1,0,0,12,1,22,484,1
1,1,1,8.666666667,1,25,625,1
1,3,1,NA,1,32,1024,1
